file_name,processed_date,status,reporting_date,current_name,is_corrupt
640017_BE_Publikimi_raporteve_2018_31122017.pdf,2026-03-21 21:45:41,1,31.12.2017,be_bs_31.12.2017.pdf|be_is_31.12.2017.pdf,0
265161_Publikimi_raporteve_2017_26.10.17_WEB.pdf,2026-03-21 21:45:42,1,30.09.2017,be_bs_30.09.2017.pdf|be_is_30.09.2017.pdf,0
676449_Publikimi_raporteve_2017_19.07.17_WEB.pdf,2026-03-21 21:45:42,1,30.06.2017,be_bs_30.06.2017.pdf|be_is_30.06.2017.pdf,0
749805_Bilanci_i_Gjendjes_31.03.2017.pdf,2026-03-21 21:45:43,1,31.03.2017,be_bs_31.03.2017.pdf|be_is_31.03.2017.pdf,0
526667_Bilanci_i_Gjendjes_31.12.2016.pdf,2026-03-21 21:45:43,1,31.12.2016,be_bs_31.12.2016.pdf|be_is_31.12.2016.pdf,0
123466_PUBLIKIMI_I_RAPORTIT_2016_WEB.pdf,2026-03-21 21:45:44,1,30.09.2016,be_bs_30.09.2016.pdf|be_is_30.09.2016.pdf,0
476797_BE_BILANCI_30.06.2016_1.pdf,2026-03-21 21:45:44,1,30.06.2016,be_bs_30.06.2016.pdf|be_is_30.06.2016.pdf,0
751447_BE_BILANCI_31032016_web.pdf,2026-03-21 21:45:45,1,31.03.2016,be_bs_31.03.2016.pdf|be_is_31.03.2016.pdf,0
272137_BE_BILANCI_31122015_web.pdf,2026-03-21 21:45:45,1,31.12.2015,be_bs_31.12.2015.pdf|be_is_31.12.2015.pdf,0
290598_2015_tremujori_trete.pdf,2026-03-21 21:45:46,1,30.09.2015,be_bs_30.09.2015.pdf|be_is_30.09.2015.pdf,0
35488_Bilanci_i_Gjendjes_-_Tremujori_i_dyte_2015.pdf,2026-03-21 21:45:46,1,30.06.2015,be_bs_30.06.2015.pdf|be_is_30.06.2015.pdf,0
550359_Bilanci_i_Gjendjes_-_Tremujori_i_pare_2015.pdf,2026-03-21 21:45:47,1,31.03.2015,be_bs_31.03.2015.pdf|be_is_31.03.2015.pdf,0
73650_Bilanci_i_Gjendjes_-_Tremujori_i_katert_2014.pdf,2026-03-21 21:45:48,1,31.12.2014,be_bs_31.12.2014.pdf|be_is_31.12.2014.pdf,0
216514_ilanci_i_Gjendjes_-_Tremujori_i_trete_2014.pdf,2026-03-21 21:45:49,1,30.09.2014,be_bs_30.09.2014.pdf|be_is_30.09.2014.pdf,0
865159_Bilanci_i_Gjendjes_-_Tremujori_i_dyte_2014.pdf,2026-03-21 21:45:49,1,30.06.2014,be_bs_30.06.2014.pdf|be_is_30.06.2014.pdf,0
738661_Bilanci_i_Gjendjes_-_Tremujori_i_pare_2014.pdf,2026-03-21 21:45:50,1,31.03.2014,be_bs_31.03.2014.pdf|be_is_31.03.2014.pdf,0
21377_Bilanci_i_Gjendjes_-_Tremujori_i_katert_2013.pdf,2026-03-21 21:45:51,1,31.12.2013,be_bs_31.12.2013.pdf|be_is_31.12.2013.pdf,0
653458_Bilanci_i_Gjendjes_-_Tremujori_i_trete_2013.pdf,2026-03-21 21:45:52,1,30.09.2013,be_bs_30.09.2013.pdf|be_is_30.09.2013.pdf,0
13401_Bilanci_i_Gjendjes_-_Tremujori_i_dyte_2013.pdf,2026-03-21 21:45:53,1,30.06.2013,be_bs_30.06.2013.pdf|be_is_30.06.2013.pdf,0
49214_Bilanci_i_Gjendjes-_Tremujori_i_pare_2013.pdf,2026-03-21 21:45:54,1,31.03.2013,be_bs_31.03.2013.pdf|be_is_31.03.2013.pdf,0
37546_Bilanci_i_Gjendjes_-_Tremujori_i_katert_2012.pdf,2026-03-21 21:45:54,1,31.12.2012,be_bs_31.12.2012.pdf|be_is_31.12.2012.pdf,0
110253_Bilanci_i_Gjendjes_-_Tremujori_i_trete_2012.pdf,2026-03-21 21:45:55,1,30.06.2012,be_bs_30.06.2012.pdf|be_is_30.06.2012.pdf,0
