,BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
0,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,20.0,Paraja e gatshme dhe gjendja me BQK-në,34673.0,30312.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
1,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,21.0,Kërkesat ndaj bankave,13295.0,10822.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
2,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,22.0,Bonot e thesarit,5602.0,10807.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
3,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,26.0,Kreditë dhe paradhëniet ndaj klientëve,92803.0,93943.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
4,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,27.0,Patundshmëritë dhe pajisjet,7742.0,7580.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
5,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,28.0,Pasuritë e paprekshme,99.0,109.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
6,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,29.0,Pasuritë tatimore të shtyra,0.0,0.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
7,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,30.0,Pasuritë tjera,1801.0,1773.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
8,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,31.0,Gjithsej pasuritë,156015.0,155346.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
9,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,32.0,Depozitat e klientëve,140633.0,140522.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
10,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,33.0,Detyrimet ndaj bankave,0.0,0.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
11,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,34.0,Fondet tjera të huazuara,0.0,0.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
12,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,35.0,Detyrimet tatimore të shtyra,0.0,0.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
13,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,36.0,Detyrimet tjera,3484.0,3282.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
14,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,37.0,Gjithsej detyrimet,144117.0,143804.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
15,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,38.0,Kapitali aksionar,14779.0,14779.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
16,3,2012-12-31,2012-12-31,BALANCE_SHEET,BALANCE,40.0,Rezervat e kapitalit,101.0,101.0,1,be_bs_31.12.2012.pdf,Banka Ekonomike,2026-03-18
