,BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
932,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,20,Paraja e gatshme dhe gjendja me BQK-në,98714,108932,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
933,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave,45950,63866,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
934,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,22,Bonot e thesarit,9441,9157,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
935,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,23,Investimet në letra me vlerë,104413,111197,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
936,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve,462292,437703,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
937,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet,17926,17352,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
938,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme,1253,1307,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
939,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,29,Pasuritë tatimore të shtyra,12,7,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
940,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,30,Pasuritë tjera,11085,8934,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
941,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,31,Gjithsej pasuritë,751086,758454,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
942,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,32,Depozitat e klientëve,628483,636785,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
943,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,33,Detyrimet ndaj bankave,323,752,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
944,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,34,Fondet tjera të huazuara,24545,24545,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
945,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,35,Detyrimet tatimore të shtyra,141,141,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
946,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,36,Detyrimet tjera,21813,18740,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
947,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,37,Gjithsej detyrimet,675305,680964,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
948,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,38,Kapitali aksionar,60550,60550,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
949,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,40,Rezervat e kapitalit,511,511,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
950,2,2013-09-30,2013-09-30,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur/(humbja) nga vitet paraprake,6133,6133,1,pcb_bs_30.09.2013.pdf,ProCredit Bank,2026-03-18
