,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,STATEMENT_TYPE,BANK_ID,CURR_ID,CATEGORY_TYPE,DATA_SOURCE,EXTRACTION_DATE,REPORT_DATE
25,Total comprehensive income/(loss),-374.0,-608.0,2024-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2024.pdf,19,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-09-30
26,Të hyrat nga interesi / Interest income,8.0,35.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,1,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-06-30
27,Shpenzimet e interesit / Interest expense,0.0,0.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,2,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-06-30
28,Neto të hyrat nga interesi / Net interest income,5.0,86.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,3,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-06-30
29,Fee and commission income,5.0,0.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,4,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-06-30
30,Fee and commission expense,0.0,0.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,5,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-06-30
31,Net fee and commission income,2.0,8.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,6,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-06-30
32,Net trading profit,1.0,1.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,7,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-06-30
33,Net other operating income (expense),0.0,0.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,9,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-06-30
34,Gjithsej të hyrat/Total income,0.0,0.0,2024-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2024.pdf,10,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-06-30
