BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,34,Fondet tjera të huazuara,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-21
9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,35,Detyrimet tatimore të shtyra,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-21
9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,36,Detyrimet tjera,1,17,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-21
9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,37,Gjithsej detyrimet,1,1,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-21
9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,38,Kapitali aksionar,10,10,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-21
9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,40,Rezervat e kapitalit,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-21
9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur/(humbja) nga vitet paraprake,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-21
9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,42,Fitimi/(humbja) e vitit aktual,133,414,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-21
9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,43,Përbërësit tjerë të ekuitetit,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-21
9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,44,Gjithsej ekuiteti i aksionarëve,10,10,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-21
9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,45,Gjithsej detyrimet dhe ekuiteti i aksionarëve,11,11,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-21
9,2015-03-31,2015-03-31,INCOME_STATEMENT,INCOME,10,Gjithsej të hyrat,0,133,1,zba_is_31.12.2015.pdf,Ziraat Bank,2026-03-21
9,2015-03-31,2015-03-31,INCOME_STATEMENT,INCOME,14,Fitimi/(humbja) para tatimit,0,133,1,zba_is_31.12.2015.pdf,Ziraat Bank,2026-03-21
9,2015-03-31,2015-03-31,INCOME_STATEMENT,INCOME,16,Fitimi/(humbja) neto,0,133,1,zba_is_31.12.2015.pdf,Ziraat Bank,2026-03-21
