BALANCE_CATEGORY,PREVIOUS_BALANCE_VALUE,CURRENT_BALANCE_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,BANK_ID,STATEMENT_TYPE
Patundshmëritë dhe pajisjet,384,594,2015-06-30,zba_bs_31.12.2015.pdf,27,9,BALANCE_SHEET
Pasuritë e paprekshme,760,749,2015-06-30,zba_bs_31.12.2015.pdf,28,9,BALANCE_SHEET
Pasuritë tatimore të shtyra,0,0,2015-06-30,zba_bs_31.12.2015.pdf,29,9,BALANCE_SHEET
Pasuritë tjera,241,1,2015-06-30,zba_bs_31.12.2015.pdf,30,9,BALANCE_SHEET
Gjithsej pasuritë,11,11,2015-06-30,zba_bs_31.12.2015.pdf,31,9,BALANCE_SHEET
Depozitat e klientëve,1,2,2015-06-30,zba_bs_31.12.2015.pdf,32,9,BALANCE_SHEET
Detyrimet ndaj bankave,0,0,2015-06-30,zba_bs_31.12.2015.pdf,33,9,BALANCE_SHEET
Fondet tjera të huazuara,0,0,2015-06-30,zba_bs_31.12.2015.pdf,34,9,BALANCE_SHEET
Detyrimet tatimore të shtyra,0,0,2015-06-30,zba_bs_31.12.2015.pdf,35,9,BALANCE_SHEET
Detyrimet tjera,17,45,2015-06-30,zba_bs_31.12.2015.pdf,36,9,BALANCE_SHEET
Gjithsej detyrimet,1,2,2015-06-30,zba_bs_31.12.2015.pdf,37,9,BALANCE_SHEET
Kapitali aksionar,10,10,2015-06-30,zba_bs_31.12.2015.pdf,38,9,BALANCE_SHEET
Rezervat e kapitalit,0,0,2015-06-30,zba_bs_31.12.2015.pdf,40,9,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,0,0,2015-06-30,zba_bs_31.12.2015.pdf,41,9,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,414,677,2015-06-30,zba_bs_31.12.2015.pdf,42,9,BALANCE_SHEET
Përbërësit tjerë të ekuitetit,0,0,2015-06-30,zba_bs_31.12.2015.pdf,43,9,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,10,9,2015-06-30,zba_bs_31.12.2015.pdf,44,9,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,11,11,2015-06-30,zba_bs_31.12.2015.pdf,45,9,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,6,4,2016-03-31,zba_bs_31.12.2016.pdf,20,9,BALANCE_SHEET
Kërkesat ndaj bankave,46,617,2016-03-31,zba_bs_31.12.2016.pdf,21,9,BALANCE_SHEET
Bonot e thesarit,0,0,2016-03-31,zba_bs_31.12.2016.pdf,22,9,BALANCE_SHEET
Investimet në letra me vlerë,3,4,2016-03-31,zba_bs_31.12.2016.pdf,23,9,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,2,2,2016-03-31,zba_bs_31.12.2016.pdf,26,9,BALANCE_SHEET
Patundshmëritë dhe pajisjet,594,560,2016-03-31,zba_bs_31.12.2016.pdf,27,9,BALANCE_SHEET
Pasuritë e paprekshme,749,708,2016-03-31,zba_bs_31.12.2016.pdf,28,9,BALANCE_SHEET
Pasuritë tatimore të shtyra,0,0,2016-03-31,zba_bs_31.12.2016.pdf,29,9,BALANCE_SHEET
Pasuritë tjera,1,1,2016-03-31,zba_bs_31.12.2016.pdf,30,9,BALANCE_SHEET
Gjithsej pasuritë,11,12,2016-03-31,zba_bs_31.12.2016.pdf,31,9,BALANCE_SHEET
Depozitat e klientëve,2,3,2016-03-31,zba_bs_31.12.2016.pdf,32,9,BALANCE_SHEET
Detyrimet ndaj bankave,0,0,2016-03-31,zba_bs_31.12.2016.pdf,33,9,BALANCE_SHEET
Fondet tjera të huazuara,0,0,2016-03-31,zba_bs_31.12.2016.pdf,34,9,BALANCE_SHEET
Detyrimet tatimore të shtyra,0,0,2016-03-31,zba_bs_31.12.2016.pdf,35,9,BALANCE_SHEET
Detyrimet tjera,45,25,2016-03-31,zba_bs_31.12.2016.pdf,36,9,BALANCE_SHEET
Gjithsej detyrimet,2,3,2016-03-31,zba_bs_31.12.2016.pdf,37,9,BALANCE_SHEET
Kapitali aksionar,10,10,2016-03-31,zba_bs_31.12.2016.pdf,38,9,BALANCE_SHEET
Rezervat e kapitalit,0,0,2016-03-31,zba_bs_31.12.2016.pdf,40,9,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,0,677,2016-03-31,zba_bs_31.12.2016.pdf,41,9,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,677,172,2016-03-31,zba_bs_31.12.2016.pdf,42,9,BALANCE_SHEET
Përbërësit tjerë të ekuitetit,0,0,2016-03-31,zba_bs_31.12.2016.pdf,43,9,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,9,9,2016-03-31,zba_bs_31.12.2016.pdf,44,9,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,11,12,2016-03-31,zba_bs_31.12.2016.pdf,45,9,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,4,4,2016-06-30,zba_bs_31.12.2016.pdf,20,9,BALANCE_SHEET
Kërkesat ndaj bankave,617,559,2016-06-30,zba_bs_31.12.2016.pdf,21,9,BALANCE_SHEET
Investimet në letra me vlerë,4,6,2016-06-30,zba_bs_31.12.2016.pdf,23,9,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,2,6,2016-06-30,zba_bs_31.12.2016.pdf,26,9,BALANCE_SHEET
Patundshmëritë dhe pajisjet,560,530,2016-06-30,zba_bs_31.12.2016.pdf,27,9,BALANCE_SHEET
Pasuritë e paprekshme,708,697,2016-06-30,zba_bs_31.12.2016.pdf,28,9,BALANCE_SHEET
Pasuritë tjera,1,3,2016-06-30,zba_bs_31.12.2016.pdf,30,9,BALANCE_SHEET
Gjithsej pasuritë,12,17,2016-06-30,zba_bs_31.12.2016.pdf,31,9,BALANCE_SHEET
Depozitat e klientëve,3,3,2016-06-30,zba_bs_31.12.2016.pdf,32,9,BALANCE_SHEET
Detyrimet ndaj bankave,0,5,2016-06-30,zba_bs_31.12.2016.pdf,33,9,BALANCE_SHEET
Detyrimet tjera,25,57,2016-06-30,zba_bs_31.12.2016.pdf,36,9,BALANCE_SHEET
Gjithsej detyrimet,3,8,2016-06-30,zba_bs_31.12.2016.pdf,37,9,BALANCE_SHEET
Kapitali aksionar,10,10,2016-06-30,zba_bs_31.12.2016.pdf,38,9,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,677,677,2016-06-30,zba_bs_31.12.2016.pdf,41,9,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,172,382,2016-06-30,zba_bs_31.12.2016.pdf,42,9,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,9,9,2016-06-30,zba_bs_31.12.2016.pdf,44,9,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,12,17,2016-06-30,zba_bs_31.12.2016.pdf,45,9,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,3838,996,2016-09-30,zba_bs_31.12.2016.pdf,20,9,BALANCE_SHEET
Kërkesat ndaj bankave,559,3,2016-09-30,zba_bs_31.12.2016.pdf,21,9,BALANCE_SHEET
Investimet në letra me vlerë,5956,7005,2016-09-30,zba_bs_31.12.2016.pdf,23,9,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,5843,7348,2016-09-30,zba_bs_31.12.2016.pdf,26,9,BALANCE_SHEET
Patundshmëritë dhe pajisjet,530,497,2016-09-30,zba_bs_31.12.2016.pdf,27,9,BALANCE_SHEET
Pasuritë e paprekshme,697,666,2016-09-30,zba_bs_31.12.2016.pdf,28,9,BALANCE_SHEET
Pasuritë tjera,3,2,2016-09-30,zba_bs_31.12.2016.pdf,30,9,BALANCE_SHEET
Gjithsej pasuritë,17424,16517,2016-09-30,zba_bs_31.12.2016.pdf,31,9,BALANCE_SHEET
Depozitat e klientëve,3424,3518,2016-09-30,zba_bs_31.12.2016.pdf,32,9,BALANCE_SHEET
Detyrimet ndaj bankave,5003,4202,2016-09-30,zba_bs_31.12.2016.pdf,33,9,BALANCE_SHEET
Detyrimet tjera,57,32,2016-09-30,zba_bs_31.12.2016.pdf,36,9,BALANCE_SHEET
Gjithsej detyrimet,8483,7751,2016-09-30,zba_bs_31.12.2016.pdf,37,9,BALANCE_SHEET
Kapitali aksionar,10000,10000,2016-09-30,zba_bs_31.12.2016.pdf,38,9,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,677,677,2016-09-30,zba_bs_31.12.2016.pdf,41,9,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,382,557,2016-09-30,zba_bs_31.12.2016.pdf,42,9,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,8941,8765,2016-09-30,zba_bs_31.12.2016.pdf,44,9,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,17424,16517,2016-09-30,zba_bs_31.12.2016.pdf,45,9,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,996,1189,2016-12-31,zba_bs_31.12.2016.pdf,20,9,BALANCE_SHEET
Kërkesat ndaj bankave,3,38,2016-12-31,zba_bs_31.12.2016.pdf,21,9,BALANCE_SHEET
Investimet në letra me vlerë,7005,6618,2016-12-31,zba_bs_31.12.2016.pdf,23,9,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,7348,8759,2016-12-31,zba_bs_31.12.2016.pdf,26,9,BALANCE_SHEET
Patundshmëritë dhe pajisjet,497,466,2016-12-31,zba_bs_31.12.2016.pdf,27,9,BALANCE_SHEET
Pasuritë e paprekshme,666,622,2016-12-31,zba_bs_31.12.2016.pdf,28,9,BALANCE_SHEET
Pasuritë tjera,2,4,2016-12-31,zba_bs_31.12.2016.pdf,30,9,BALANCE_SHEET
Gjithsej pasuritë,16517,17774,2016-12-31,zba_bs_31.12.2016.pdf,31,9,BALANCE_SHEET
Depozitat e klientëve,3518,3349,2016-12-31,zba_bs_31.12.2016.pdf,32,9,BALANCE_SHEET
Detyrimet ndaj bankave,4202,5702,2016-12-31,zba_bs_31.12.2016.pdf,33,9,BALANCE_SHEET
Detyrimet tjera,32,40,2016-12-31,zba_bs_31.12.2016.pdf,36,9,BALANCE_SHEET
Gjithsej detyrimet,7751,9091,2016-12-31,zba_bs_31.12.2016.pdf,37,9,BALANCE_SHEET
Kapitali aksionar,10000,10000,2016-12-31,zba_bs_31.12.2016.pdf,38,9,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,677,677,2016-12-31,zba_bs_31.12.2016.pdf,41,9,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,557,640,2016-12-31,zba_bs_31.12.2016.pdf,42,9,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,8765,8682,2016-12-31,zba_bs_31.12.2016.pdf,44,9,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,16517,17774,2016-12-31,zba_bs_31.12.2016.pdf,45,9,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,1189,2099,2017-03-31,zba_bs_31.12.2017.pdf,20,9,BALANCE_SHEET
Kërkesat ndaj bankave,38,130,2017-03-31,zba_bs_31.12.2017.pdf,21,9,BALANCE_SHEET
Investimet në letra me vlerë,6618,6681,2017-03-31,zba_bs_31.12.2017.pdf,23,9,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,8759,11392,2017-03-31,zba_bs_31.12.2017.pdf,26,9,BALANCE_SHEET
Patundshmëritë dhe pajisjet,466,432,2017-03-31,zba_bs_31.12.2017.pdf,27,9,BALANCE_SHEET
Pasuritë e paprekshme,622,578,2017-03-31,zba_bs_31.12.2017.pdf,28,9,BALANCE_SHEET
Pasuritë tjera,4,82,2017-03-31,zba_bs_31.12.2017.pdf,30,9,BALANCE_SHEET
