BALANCE_CATEGORY,PREVIOUS_BALANCE_VALUE,CURRENT_BALANCE_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,BANK_ID,STATEMENT_TYPE
Pasuritë tatimore të shtyra,0.0,0.0,2015-06-30,be_bs_30.06.2015.pdf,29,3,BALANCE_SHEET
Pasuritë tjera,1433.0,1360.0,2015-06-30,be_bs_30.06.2015.pdf,30,3,BALANCE_SHEET
Gjithsej pasuritë,178756.0,179296.0,2015-06-30,be_bs_30.06.2015.pdf,31,3,BALANCE_SHEET
Depozitat e klientëve,160380.0,160259.0,2015-06-30,be_bs_30.06.2015.pdf,32,3,BALANCE_SHEET
Detyrimet ndaj bankave,0.0,0.0,2015-06-30,be_bs_30.06.2015.pdf,33,3,BALANCE_SHEET
Fondet tjera të huazuara,1000.0,1000.0,2015-06-30,be_bs_30.06.2015.pdf,34,3,BALANCE_SHEET
Detyrimet tatimore të shtyra,0.0,0.0,2015-06-30,be_bs_30.06.2015.pdf,35,3,BALANCE_SHEET
Detyrimet tjera,3271.0,3478.0,2015-06-30,be_bs_30.06.2015.pdf,36,3,BALANCE_SHEET
Gjithsej detyrimet,164651.0,164737.0,2015-06-30,be_bs_30.06.2015.pdf,37,3,BALANCE_SHEET
Kapitali aksionar,14779.0,14779.0,2015-06-30,be_bs_30.06.2015.pdf,38,3,BALANCE_SHEET
Rezervat e kapitalit,102.0,102.0,2015-06-30,be_bs_30.06.2015.pdf,40,3,BALANCE_SHEET
Fitimi i mbajtur /(humbja) nga vitet paraprake,1327.0,1327.0,2015-06-30,be_bs_30.06.2015.pdf,41,3,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,551.0,1005.0,2015-06-30,be_bs_30.06.2015.pdf,42,3,BALANCE_SHEET
Përbërësit tjerë të ekuitetit,0.0,0.0,2015-06-30,be_bs_30.06.2015.pdf,43,3,BALANCE_SHEET
Gjithsej  ekuiteti i aksionarëve,14105.0,14559.0,2015-06-30,be_bs_30.06.2015.pdf,44,3,BALANCE_SHEET
Gjithsej  detyrimet  dhe ekuiteti i aksionarëve,178756.0,179296.0,2015-06-30,be_bs_30.06.2015.pdf,45,3,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,30872.0,29582.0,2016-06-30,be_bs_30.06.2016.pdf,20,3,BALANCE_SHEET
Kërkesat ndaj bankave,7638.0,7001.0,2016-06-30,be_bs_30.06.2016.pdf,21,3,BALANCE_SHEET
Bonot e thesarit,13964.0,12190.0,2016-06-30,be_bs_30.06.2016.pdf,22,3,BALANCE_SHEET
Investimet në letra me vlerë,7160.0,4638.0,2016-06-30,be_bs_30.06.2016.pdf,23,3,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,124735.0,130243.0,2016-06-30,be_bs_30.06.2016.pdf,26,3,BALANCE_SHEET
Patundshmëritë dhe pajisjet,6194.0,6262.0,2016-06-30,be_bs_30.06.2016.pdf,27,3,BALANCE_SHEET
Pasuritë e paprekshme,252.0,244.0,2016-06-30,be_bs_30.06.2016.pdf,28,3,BALANCE_SHEET
Pasuritë tatimore të shtyra,0.0,0.0,2016-06-30,be_bs_30.06.2016.pdf,29,3,BALANCE_SHEET
Pasuritë tjera,709.0,857.0,2016-06-30,be_bs_30.06.2016.pdf,30,3,BALANCE_SHEET
Gjithsej pasuritë,191524.0,191017.0,2016-06-30,be_bs_30.06.2016.pdf,31,3,BALANCE_SHEET
Depozitat e klientëve,170426.0,167630.0,2016-06-30,be_bs_30.06.2016.pdf,32,3,BALANCE_SHEET
Detyrime ndaj bankave,1000.0,2026.0,2016-06-30,be_bs_30.06.2016.pdf,33,3,BALANCE_SHEET
Fondet tjera të huazuara,1069.0,1013.0,2016-06-30,be_bs_30.06.2016.pdf,34,3,BALANCE_SHEET
Detyrimet tatimore të shtyra,0.0,0.0,2016-06-30,be_bs_30.06.2016.pdf,35,3,BALANCE_SHEET
Detyrimet tjera,726.0,727.0,2016-06-30,be_bs_30.06.2016.pdf,36,3,BALANCE_SHEET
Gjithsej detyrimet,173221.0,171395.0,2016-06-30,be_bs_30.06.2016.pdf,37,3,BALANCE_SHEET
Kapitali aksionar,14779.0,16777.0,2016-06-30,be_bs_30.06.2016.pdf,38,3,BALANCE_SHEET
Rezervat e kapitalit,102.0,102.0,2016-06-30,be_bs_30.06.2016.pdf,40,3,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,1998.0,0.0,2016-06-30,be_bs_30.06.2016.pdf,41,3,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,1416.0,2695.0,2016-06-30,be_bs_30.06.2016.pdf,42,3,BALANCE_SHEET
Përbërësit tjerë të ekuitetit,8.0,48.0,2016-06-30,be_bs_30.06.2016.pdf,43,3,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,18302.0,19621.0,2016-06-30,be_bs_30.06.2016.pdf,44,3,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,191524.0,191017.0,2016-06-30,be_bs_30.06.2016.pdf,45,3,BALANCE_SHEET
,0.0,0.0,2017-06-30,be_bs_30.06.2017.pdf,,3,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,41707.0,42092.0,2017-06-30,be_bs_30.06.2017.pdf,20,3,BALANCE_SHEET
Kërkesat ndaj bankave,10229.0,10733.0,2017-06-30,be_bs_30.06.2017.pdf,21,3,BALANCE_SHEET
Bonot e thesarit,13365.0,13371.0,2017-06-30,be_bs_30.06.2017.pdf,22,3,BALANCE_SHEET
Investimet në letra me vlerë,12626.0,6090.0,2017-06-30,be_bs_30.06.2017.pdf,23,3,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,141241.0,151326.0,2017-06-30,be_bs_30.06.2017.pdf,26,3,BALANCE_SHEET
Patundshmëritë dhe pajisjet,6012.0,6061.0,2017-06-30,be_bs_30.06.2017.pdf,27,3,BALANCE_SHEET
Pasuritë e paprekshme,417.0,388.0,2017-06-30,be_bs_30.06.2017.pdf,28,3,BALANCE_SHEET
Pasuritë tatimore të shtyra,0.0,0.0,2017-06-30,be_bs_30.06.2017.pdf,29,3,BALANCE_SHEET
Pasuritë tjera,696.0,695.0,2017-06-30,be_bs_30.06.2017.pdf,30,3,BALANCE_SHEET
Gjithsej pasuritë,226291.0,230755.0,2017-06-30,be_bs_30.06.2017.pdf,31,3,BALANCE_SHEET
