BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
3,2012-12-31,2012-12-31,INCOME_STATEMENT,INCOME,5,Shpenzimet e tarifave dhe komisioneve,-1190.0,-1803.0,1,be_is_31.12.2012.pdf,Banka Ekonomike,2026-03-21
3,2012-12-31,2012-12-31,INCOME_STATEMENT,INCOME,6,Neto të hyrat nga tarifat dhe komisionet,678.0,765.0,1,be_is_31.12.2012.pdf,Banka Ekonomike,2026-03-21
3,2012-12-31,2012-12-31,INCOME_STATEMENT,INCOME,7,Neto të hyrat nga tregtimi,36.0,50.0,1,be_is_31.12.2012.pdf,Banka Ekonomike,2026-03-21
3,2012-12-31,2012-12-31,INCOME_STATEMENT,INCOME,8,Neto të hyrat nga instrumentet tjera financiare,73.0,122.0,1,be_is_31.12.2012.pdf,Banka Ekonomike,2026-03-21
3,2012-12-31,2012-12-31,INCOME_STATEMENT,INCOME,9,Neto të hyrat (shpenzimet)  tjera operative,-3727.0,-5044.0,1,be_is_31.12.2012.pdf,Banka Ekonomike,2026-03-21
3,2013-03-31,2013-03-31,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave,10822.0,10192.0,1,be_bs_31.03.2013.pdf,Banka Ekonomike,2026-03-21
3,2013-03-31,2013-03-31,BALANCE_SHEET,BALANCE,22,Bonot e thesarit,10807.0,10909.0,1,be_bs_31.03.2013.pdf,Banka Ekonomike,2026-03-21
3,2013-03-31,2013-03-31,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve,93943.0,100690.0,1,be_bs_31.03.2013.pdf,Banka Ekonomike,2026-03-21
3,2013-03-31,2013-03-31,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet,7580.0,7362.0,1,be_bs_31.03.2013.pdf,Banka Ekonomike,2026-03-21
3,2013-03-31,2013-03-31,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme,109.0,95.0,1,be_bs_31.03.2013.pdf,Banka Ekonomike,2026-03-21
3,2013-03-31,2013-03-31,BALANCE_SHEET,BALANCE,29,Pasuritë tatimore të shtyra,0.0,0.0,1,be_bs_31.03.2013.pdf,Banka Ekonomike,2026-03-21
3,2013-03-31,2013-03-31,BALANCE_SHEET,BALANCE,30,Pasuritë tjera,1773.0,2024.0,1,be_bs_31.03.2013.pdf,Banka Ekonomike,2026-03-21
3,2013-03-31,2013-03-31,BALANCE_SHEET,BALANCE,31,Gjithsej pasuritë,155346.0,159141.0,1,be_bs_31.03.2013.pdf,Banka Ekonomike,2026-03-21
3,2013-03-31,2013-03-31,BALANCE_SHEET,BALANCE,32,Depozitat e klientëve,140522.0,143506.0,1,be_bs_31.03.2013.pdf,Banka Ekonomike,2026-03-21
3,2013-03-31,2013-03-31,BALANCE_SHEET,BALANCE,33,Detyrimet ndaj bankave,0.0,0.0,1,be_bs_31.03.2013.pdf,Banka Ekonomike,2026-03-21
3,2013-03-31,2013-03-31,BALANCE_SHEET,BALANCE,34,Fondet tjera të huazuara,0.0,0.0,1,be_bs_31.03.2013.pdf,Banka Ekonomike,2026-03-21
