file_name,file_path,bs_current_name,is_current_name,reporting_date,creation_date,download_date,is_corrupt
609658_Bilanci_i_Gjendjes_30_06_2020_.pdf,be_financial_data\original\609658_Bilanci_i_Gjendjes_30_06_2020_.pdf,be_bs_30.06.2020.pdf,be_is_30.06.2020.pdf,30.06.2020,2020-07-21 14:27:49,2026-03-21 21:45:37.001832,0
752079_publikmi_i_bilancit_31_03_2020.pdf,be_financial_data\original\752079_publikmi_i_bilancit_31_03_2020.pdf,be_bs_31.03.2020.pdf,be_is_31.03.2020.pdf,31.03.2020,2020-04-28 16:19:43,2026-03-21 21:45:37.501017,0
715013_publikmi_i_bilancit_31_12_2019.pdf,be_financial_data\original\715013_publikmi_i_bilancit_31_12_2019.pdf,be_bs_31.12.2019.pdf,be_is_31.12.2019.pdf,31.12.2019,2020-04-28 16:19:28,2026-03-21 21:45:38.214489,0
731108_Bilanci_30_09_2019.pdf,be_financial_data\original\731108_Bilanci_30_09_2019.pdf,be_bs_30.09.2019.pdf,be_is_30.09.2019.pdf,30.09.2019,2019-10-22 10:11:27,2026-03-21 21:45:38.625065,0
401596_Bilanci_30_06_2019.pdf,be_financial_data\original\401596_Bilanci_30_06_2019.pdf,be_bs_30.06.2019.pdf,be_is_30.06.2019.pdf,30.06.2019,2019-07-19 15:36:38,2026-03-21 21:45:39.091718,0
483397_Bilanci_31_03_2019.pdf,be_financial_data\original\483397_Bilanci_31_03_2019.pdf,be_bs_31.03.2019.pdf,be_is_31.03.2019.pdf,31.03.2019,2019-04-25 10:08:40,2026-03-21 21:45:39.541618,0
2097_Publikimi_Bilancit_31_12_2018-pas_auditimit_te_PF.pdf,be_financial_data\original\2097_Publikimi_Bilancit_31_12_2018-pas_auditimit_te_PF.pdf,be_bs_31.12.2018.pdf,be_is_31.12.2018.pdf,31.12.2018,2019-04-24 16:22:01,2026-03-21 21:45:39.943096,0
177340_BE_Publikimi_raporteve_2018_10_17__web.pdf,be_financial_data\original\177340_BE_Publikimi_raporteve_2018_10_17__web.pdf,be_bs_30.09.2018.pdf,be_is_30.09.2018.pdf,30.09.2018,2018-10-17 13:30:50,2026-03-21 21:45:40.381735,0
707428_BE_Publikimi_raporteve_2018_31032018_web.pdf,be_financial_data\original\707428_BE_Publikimi_raporteve_2018_31032018_web.pdf,be_bs_30.06.2018.pdf,be_is_30.06.2018.pdf,30.06.2018,2018-07-20 15:11:04,2026-03-21 21:45:40.801742,0
273302_BE_Publikimi_raporteve_2018_31032018.pdf,be_financial_data\original\273302_BE_Publikimi_raporteve_2018_31032018.pdf,be_bs_31.03.2018.pdf,be_is_31.03.2018.pdf,31.03.2018,2018-04-25 14:42:41,2026-03-21 21:45:41.264604,0
640017_BE_Publikimi_raporteve_2018_31122017.pdf,be_financial_data\original\640017_BE_Publikimi_raporteve_2018_31122017.pdf,be_bs_31.12.2017.pdf,be_is_31.12.2017.pdf,31.12.2017,2018-04-25 14:43:09,2026-03-21 21:45:41.887950,0
265161_Publikimi_raporteve_2017_26.10.17_WEB.pdf,be_financial_data\original\265161_Publikimi_raporteve_2017_26.10.17_WEB.pdf,be_bs_30.09.2017.pdf,be_is_30.09.2017.pdf,30.09.2017,2017-10-26 14:03:41,2026-03-21 21:45:42.299991,0
676449_Publikimi_raporteve_2017_19.07.17_WEB.pdf,be_financial_data\original\676449_Publikimi_raporteve_2017_19.07.17_WEB.pdf,be_bs_30.06.2017.pdf,be_is_30.06.2017.pdf,30.06.2017,2017-07-20 15:51:20,2026-03-21 21:45:42.807150,0
749805_Bilanci_i_Gjendjes_31.03.2017.pdf,be_financial_data\original\749805_Bilanci_i_Gjendjes_31.03.2017.pdf,be_bs_31.03.2017.pdf,be_is_31.03.2017.pdf,31.03.2017,2017-04-27 15:21:55,2026-03-21 21:45:43.244878,0
526667_Bilanci_i_Gjendjes_31.12.2016.pdf,be_financial_data\original\526667_Bilanci_i_Gjendjes_31.12.2016.pdf,be_bs_31.12.2016.pdf,be_is_31.12.2016.pdf,31.12.2016,2017-04-27 11:55:34,2026-03-21 21:45:43.712962,0
123466_PUBLIKIMI_I_RAPORTIT_2016_WEB.pdf,be_financial_data\original\123466_PUBLIKIMI_I_RAPORTIT_2016_WEB.pdf,be_bs_30.09.2016.pdf,be_is_30.09.2016.pdf,30.09.2016,2016-10-26 16:03:14,2026-03-21 21:45:44.156406,0
476797_BE_BILANCI_30.06.2016_1.pdf,be_financial_data\original\476797_BE_BILANCI_30.06.2016_1.pdf,be_bs_30.06.2016.pdf,be_is_30.06.2016.pdf,30.06.2016,2016-07-27 15:25:55,2026-03-21 21:45:44.591558,0
751447_BE_BILANCI_31032016_web.pdf,be_financial_data\original\751447_BE_BILANCI_31032016_web.pdf,be_bs_31.03.2016.pdf,be_is_31.03.2016.pdf,31.03.2016,2016-04-29 17:25:39,2026-03-21 21:45:45.055868,0
272137_BE_BILANCI_31122015_web.pdf,be_financial_data\original\272137_BE_BILANCI_31122015_web.pdf,be_bs_31.12.2015.pdf,be_is_31.12.2015.pdf,31.12.2015,2016-04-29 17:25:39,2026-03-21 21:45:45.513774,0
290598_2015_tremujori_trete.pdf,be_financial_data\original\290598_2015_tremujori_trete.pdf,be_bs_30.09.2015.pdf,be_is_30.09.2015.pdf,30.09.2015,2015-10-22 16:05:28,2026-03-21 21:45:46.276286,0
35488_Bilanci_i_Gjendjes_-_Tremujori_i_dyte_2015.pdf,be_financial_data\original\35488_Bilanci_i_Gjendjes_-_Tremujori_i_dyte_2015.pdf,be_bs_30.06.2015.pdf,be_is_30.06.2015.pdf,30.06.2015,2015-07-29 11:05:42,2026-03-21 21:45:46.851673,0
550359_Bilanci_i_Gjendjes_-_Tremujori_i_pare_2015.pdf,be_financial_data\original\550359_Bilanci_i_Gjendjes_-_Tremujori_i_pare_2015.pdf,be_bs_31.03.2015.pdf,be_is_31.03.2015.pdf,31.03.2015,2015-04-24 17:59:18,2026-03-21 21:45:47.519276,0
73650_Bilanci_i_Gjendjes_-_Tremujori_i_katert_2014.pdf,be_financial_data\original\73650_Bilanci_i_Gjendjes_-_Tremujori_i_katert_2014.pdf,be_bs_31.12.2014.pdf,be_is_31.12.2014.pdf,31.12.2014,2015-04-24 18:02:28,2026-03-21 21:45:48.145123,0
216514_ilanci_i_Gjendjes_-_Tremujori_i_trete_2014.pdf,be_financial_data\original\216514_ilanci_i_Gjendjes_-_Tremujori_i_trete_2014.pdf,be_bs_30.09.2014.pdf,be_is_30.09.2014.pdf,30.09.2014,2014-10-31 14:25:26,2026-03-21 21:45:48.996140,0
865159_Bilanci_i_Gjendjes_-_Tremujori_i_dyte_2014.pdf,be_financial_data\original\865159_Bilanci_i_Gjendjes_-_Tremujori_i_dyte_2014.pdf,be_bs_30.06.2014.pdf,be_is_30.06.2014.pdf,30.06.2014,2014-07-24 08:39:04,2026-03-21 21:45:49.783054,0
738661_Bilanci_i_Gjendjes_-_Tremujori_i_pare_2014.pdf,be_financial_data\original\738661_Bilanci_i_Gjendjes_-_Tremujori_i_pare_2014.pdf,be_bs_31.03.2014.pdf,be_is_31.03.2014.pdf,31.03.2014,2014-04-29 15:18:06,2026-03-21 21:45:50.753452,0
21377_Bilanci_i_Gjendjes_-_Tremujori_i_katert_2013.pdf,be_financial_data\original\21377_Bilanci_i_Gjendjes_-_Tremujori_i_katert_2013.pdf,be_bs_31.12.2013.pdf,be_is_31.12.2013.pdf,31.12.2013,2014-04-29 15:13:28,2026-03-21 21:45:51.508438,0
653458_Bilanci_i_Gjendjes_-_Tremujori_i_trete_2013.pdf,be_financial_data\original\653458_Bilanci_i_Gjendjes_-_Tremujori_i_trete_2013.pdf,be_bs_30.09.2013.pdf,be_is_30.09.2013.pdf,30.09.2013,2013-10-22 13:35:46,2026-03-21 21:45:52.259504,0
